"time.aa.","intensity.aa.","A.aa."
NA,NA,NA
NA,NA,NA
265,0.0003051758,Inf
266,0.0006103516,Inf
267,0.001220703,Inf
268,0.0009155273,Inf
269,0.001525879,Inf
270,0.001831055,Inf
271,0.001525879,Inf
272,0.001525879,Inf
273,0.001220703,Inf
274,0.001220703,Inf
275,0.0009155273,Inf
276,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
282,0.0003051758,Inf
283,0.0006103516,Inf
284,0.001220703,Inf
285,0.001220703,Inf
286,0.001220703,Inf
287,0.001220703,Inf
288,0.001525879,Inf
289,0.001220703,Inf
290,0.001525879,Inf
291,0.0009155273,Inf
292,0.0006103516,Inf
293,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
299,0.0003051758,Inf
300,0.0006103516,Inf
301,0.0009155273,Inf
302,0.001220703,Inf
303,0.001525879,Inf
304,0.001525879,Inf
305,0.001220703,Inf
306,0.001525879,Inf
307,0.001220703,Inf
308,0.0006103516,Inf
309,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
316,0.0006103516,Inf
317,0.0006103516,Inf
318,0.0009155273,Inf
319,0.001220703,Inf
320,0.001525879,Inf
321,0.001220703,Inf
322,0.001525879,Inf
323,0.001220703,Inf
324,0.001220703,Inf
325,0.0006103516,Inf
326,0.0003051758,Inf
327,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
332,0.0006103516,Inf
333,0.0006103516,Inf
334,0.0006103516,Inf
335,0.001220703,Inf
336,0.001220703,Inf
337,0.001525879,Inf
338,0.001525879,Inf
339,0.001220703,Inf
340,0.001220703,Inf
341,0.001220703,Inf
342,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
349,0.0006103516,Inf
350,0.0006103516,Inf
351,0.0009155273,Inf
352,0.001220703,Inf
353,0.001220703,Inf
354,0.001525879,Inf
355,0.001220703,Inf
356,0.001220703,Inf
357,0.001220703,Inf
358,0.0006103516,Inf
359,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
366,0.0006103516,Inf
367,0.0009155273,Inf
368,0.0009155273,Inf
369,0.001220703,Inf
370,0.001525879,Inf
371,0.001525879,Inf
372,0.001220703,Inf
373,0.001220703,Inf
374,0.0009155273,Inf
375,0.0003051758,Inf
376,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
382,0.0003051758,Inf
383,0.0006103516,Inf
384,0.0006103516,Inf
385,0.001220703,Inf
386,0.001220703,Inf
387,0.001525879,Inf
388,0.001525879,Inf
389,0.001220703,Inf
390,0.001220703,Inf
391,0.0009155273,Inf
392,0.0003051758,Inf
393,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
399,0.0003051758,Inf
400,0.0003051758,Inf
401,0.0006103516,Inf
402,0.0009155273,Inf
403,0.001220703,Inf
404,0.001525879,Inf
405,0.001220703,Inf
406,0.001220703,Inf
407,0.0006103516,Inf
408,0.0003051758,Inf
409,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
416,0.0003051758,Inf
417,0.0009155273,Inf
418,0.0006103516,Inf
419,0.0009155273,Inf
420,0.001525879,Inf
421,0.001220703,Inf
422,0.001220703,Inf
423,0.001220703,Inf
424,0.0009155273,Inf
425,0.0006103516,Inf
426,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
432,0.0003051758,Inf
433,0.0006103516,Inf
434,0.0006103516,Inf
435,0.0006103516,Inf
436,0.001220703,Inf
437,0.001220703,Inf
438,0.001525879,Inf
439,0.001220703,Inf
440,0.001220703,Inf
441,0.0006103516,Inf
442,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
449,0.0003051758,Inf
450,0.0006103516,Inf
451,0.0006103516,Inf
452,0.001220703,Inf
453,0.001220703,Inf
454,0.001220703,Inf
455,0.001220703,Inf
456,0.0009155273,Inf
457,0.001220703,Inf
458,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
466,0.0006103516,Inf
467,0.0006103516,Inf
468,0.0009155273,Inf
469,0.0009155273,Inf
470,0.001220703,Inf
471,0.001220703,Inf
472,0.001220703,Inf
473,0.001220703,Inf
474,0.0009155273,Inf
475,0.0003051758,Inf
476,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
483,0.0003051758,Inf
484,0.0006103516,Inf
485,0.001220703,Inf
486,0.001220703,Inf
487,0.0009155273,Inf
488,0.001525879,Inf
489,0.001220703,Inf
490,0.001220703,Inf
491,0.0006103516,Inf
NA,NA,NA
493,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
500,0.0003051758,Inf
501,0.0006103516,Inf
502,0.001220703,Inf
503,0.0009155273,Inf
504,0.001220703,Inf
505,0.001220703,Inf
506,0.001220703,Inf
507,0.0009155273,Inf
508,0.0006103516,Inf
509,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
515,0.0003051758,Inf
516,0.0003051758,Inf
517,0.0006103516,Inf
518,0.0006103516,Inf
519,0.001220703,Inf
520,0.001220703,Inf
521,0.001220703,Inf
522,0.001220703,Inf
523,0.001220703,Inf
524,0.0006103516,Inf
NA,NA,NA
526,0.0006103516,Inf
NA,NA,NA
528,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
534,0.0006103516,Inf
535,0.0009155273,Inf
536,0.001220703,Inf
537,0.0009155273,Inf
538,0.001220703,Inf
539,0.001220703,Inf
540,0.0009155273,Inf
541,0.0006103516,Inf
542,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
549,0.0003051758,Inf
550,0.0006103516,Inf
551,0.0006103516,Inf
552,0.0009155273,Inf
553,0.001220703,Inf
554,0.001220703,Inf
555,0.001220703,Inf
556,0.0009155273,Inf
557,0.0009155273,Inf
558,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
566,0.0006103516,Inf
567,0.0006103516,Inf
568,0.0006103516,Inf
569,0.001220703,Inf
570,0.001220703,Inf
571,0.001220703,Inf
572,0.001220703,Inf
573,0.001220703,Inf
574,0.0009155273,Inf
575,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
583,0.0006103516,Inf
584,0.0006103516,Inf
585,0.0006103516,Inf
586,0.001220703,Inf
587,0.001220703,Inf
588,0.001220703,Inf
589,0.001220703,Inf
590,0.0009155273,Inf
591,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
600,0.0006103516,Inf
601,0.0006103516,Inf
602,0.001220703,Inf
603,0.001220703,Inf
604,0.001220703,Inf
605,0.001525879,Inf
606,0.0009155273,Inf
607,0.0006103516,Inf
608,0.0009155273,Inf
609,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
617,0.0006103516,Inf
618,0.0006103516,Inf
619,0.001220703,Inf
620,0.001220703,Inf
621,0.001525879,Inf
622,0.001220703,Inf
623,0.0009155273,Inf
624,0.0006103516,Inf
625,0.0003051758,Inf
626,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
633,0.0003051758,Inf
634,0.0006103516,Inf
635,0.001220703,Inf
636,0.0009155273,Inf
637,0.0009155273,Inf
638,0.001220703,Inf
639,0.001220703,Inf
640,0.001220703,Inf
641,0.0006103516,Inf
642,0.0006103516,Inf
643,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
649,0.0003051758,Inf
650,0.0006103516,Inf
651,0.0006103516,Inf
652,0.001220703,Inf
653,0.001220703,Inf
654,0.001220703,Inf
655,0.001220703,Inf
656,0.0006103516,Inf
657,0.001220703,Inf
658,0.0006103516,Inf
659,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
667,0.0006103516,Inf
668,0.0006103516,Inf
669,0.001220703,Inf
670,0.001220703,Inf
671,0.0009155273,Inf
672,0.001220703,Inf
673,0.001220703,Inf
674,0.0006103516,Inf
675,0.0006103516,Inf
676,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
683,0.0003051758,Inf
684,0.0003051758,Inf
685,0.0009155273,Inf
686,0.001220703,Inf
687,0.001220703,Inf
688,0.001220703,Inf
689,0.001220703,Inf
690,0.0009155273,Inf
691,0.0006103516,Inf
692,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
700,0.0003051758,Inf
701,0.001220703,Inf
702,0.001220703,Inf
703,0.001220703,Inf
704,0.001220703,Inf
705,0.001220703,Inf
706,0.0009155273,Inf
707,0.001220703,Inf
708,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
717,0.0006103516,Inf
718,0.0009155273,Inf
719,0.0009155273,Inf
720,0.001220703,Inf
721,0.001525879,Inf
722,0.001220703,Inf
723,0.0009155273,Inf
724,0.0006103516,Inf
725,0.0003051758,Inf
726,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
733,0.0006103516,Inf
734,0.0006103516,Inf
735,0.0009155273,Inf
736,0.001220703,Inf
737,0.001220703,Inf
738,0.001220703,Inf
739,0.001220703,Inf
740,0.0009155273,Inf
741,0.0006103516,Inf
742,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
749,0.0003051758,Inf
750,0.0006103516,Inf
751,0.0006103516,Inf
752,0.001220703,Inf
753,0.001220703,Inf
754,0.001220703,Inf
755,0.0009155273,Inf
756,0.001220703,Inf
757,0.0006103516,Inf
758,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
766,0.0003051758,Inf
767,0.0006103516,Inf
768,0.0006103516,Inf
769,0.0009155273,Inf
770,0.001220703,Inf
771,0.001220703,Inf
772,0.001220703,Inf
773,0.001220703,Inf
774,0.0006103516,Inf
775,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
783,0.0003051758,Inf
784,0.0006103516,Inf
785,0.001220703,Inf
786,0.001220703,Inf
787,0.001220703,Inf
788,0.001220703,Inf
789,0.001220703,Inf
790,0.0009155273,Inf
791,0.0006103516,Inf
792,0.0009155273,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
800,0.0006103516,Inf
801,0.0006103516,Inf
802,0.0009155273,Inf
803,0.001220703,Inf
804,0.001220703,Inf
805,0.001220703,Inf
806,0.001220703,Inf
807,0.0009155273,Inf
NA,NA,NA
809,0.0003051758,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
817,0.0003051758,Inf
818,0.0006103516,Inf
819,0.001220703,Inf
820,0.001220703,Inf
821,0.001220703,Inf
822,0.001220703,Inf
823,0.001220703,Inf
824,0.0006103516,Inf
825,0.0006103516,Inf
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
