"time","lnaeq"
6,-2.82998616699828
7,-2.83517084370915
8,-2.83517084370915
9,-2.84562154334481
10,-2.84038254144875
11,-2.84562154334481
12,-2.84038254144875
13,-2.83517084370915
14,-2.83517084370915
15,-2.82998616699828
27,-2.82998616699828
