"time","intensity","A"
1,0.004272461,0.845098090839122
2,0.004577637,0.875061334546509
3,0.004272461,0.845098090839122
4,0.0045776365,0.875061287109971
5,0.0039672855,0.812913438744558
6,0.0039672855,0.812913438744558
7,0.0039672855,0.812913438744558
8,0.003967285,0.812913384010091
9,0.003967285,0.812913384010091
10,0.004272461,0.845098090839122
11,0.003967285,0.812913384010091
12,0.003967285,0.812913384010091
13,0.003967285,0.812913384010091
14,0.003967285,0.812913384010091
15,0.003967285,0.812913384010091
16,0.003967285,0.812913384010091
17,0.004272461,0.845098090839122
18,0.0036621095,0.778151309679319
19,0.004272461,0.845098090839122
20,0.0033569335,0.74036272183734
21,0.0030517575,0.698970004336019
22,0.0033569335,0.74036272183734
23,0.0033569335,0.74036272183734
24,0.0030517575,0.698970004336019
25,0.002746582,0.653212553305795
26,0.003051758,0.698970075490828
27,0.0030517575,0.698970004336019
28,0.002746582,0.653212553305795
29,0.0030517575,0.698970004336019
30,0.002746582,0.653212553305795
31,0.0030517575,0.698970004336019
32,0.0030517575,0.698970004336019
33,0.003051758,0.698970075490828
34,0.003051758,0.698970075490828
35,0.0030517575,0.698970004336019
36,0.0033569335,0.74036272183734
37,0.0024414065,0.602060080271472
38,0.0021362305,0.544068095175141
39,0.0024414065,0.602060080271472
40,0.0021362305,0.544068095175141
41,0.0021362305,0.544068095175141
42,0.0018310545,0.477121254719662
43,0.0021362305,0.544068095175141
44,0.001831055,0.477121373311005
45,0.0018310545,0.477121254719662
46,0.0018310545,0.477121254719662
47,0.0018310545,0.477121254719662
48,0.0021362305,0.544068095175141
49,0.0021362305,0.544068095175141
50,0.002441406,0.602059991327962
51,0.002441406,0.602059991327962
52,0.0021362305,0.544068095175141
53,0.0021362305,0.544068095175141
54,0.0018310545,0.477121254719662
55,0.0018310545,0.477121254719662
56,0.0015258788,0.397940022903
57,0.001525879,0.397940079826847
58,0.0009155273,0.176091282773952
59,0.001525879,0.397940079826847
60,0.001525879,0.397940079826847
61,0.001525879,0.397940079826847
62,0.0012207033,0.301030102396191
63,0.0012207033,0.301030102396191
64,0.0018310545,0.477121254719662
65,0.001525879,0.397940079826847
66,0.0021362305,0.544068095175141
67,0.001525879,0.397940079826847
68,0.001525879,0.397940079826847
69,0.001831055,0.477121373311005
70,0.0018310545,0.477121254719662
71,0.0012207033,0.301030102396191
72,0.0015258788,0.397940022903
73,0.0012207033,0.301030102396191
74,0.0009155273,0.176091282773952
75,0.0009155273,0.176091282773952
76,0.001220703,0.301029995663981
77,0.0012207033,0.301030102396191
78,0.001525879,0.397940079826847
79,0.0012207033,0.301030102396191
80,0.0012207033,0.301030102396191
81,0.0012207033,0.301030102396191
82,0.001525879,0.397940079826847
83,0.001220703,0.301029995663981
84,0.001525879,0.397940079826847
85,0.001220703,0.301029995663981
86,0.001525879,0.397940079826847
87,0.0012207033,0.301030102396191
88,0.0012207033,0.301030102396191
89,0.0012207033,0.301030102396191
90,0.0009155275,0.176091377647024
91,0.0009155273,0.176091282773952
92,0.0006103516,7.115480932346e-08
93,0.0009155273,0.176091282773952
94,0.0009155273,0.176091282773952
95,0.0009155273,0.176091282773952
96,0.0009155275,0.176091377647024
97,0.0009155273,0.176091282773952
98,0.0012207033,0.301030102396191
99,0.0012207033,0.301030102396191
100,0.0009155273,0.176091282773952
101,0.001220703,0.301029995663981
102,0.001525879,0.397940079826847
103,0.0009155273,0.176091282773952
104,0.0012207033,0.301030102396191
